# 方格子文章 URL 清單
# 格式：標題 | URL
# 新增文章直接在對應主題區塊下面加一行，然後跑 python generate_site.py 就會自動更新

# === batch_01 行動電源・充電器（21 篇）===
【2026氮化鎵充電器推薦】7款GaN快充評比｜瓦數挑選一次懂 | https://vocus.cc/article/69abd15ffd89780001d12cf7
【2026台灣製行動電源推薦】5款MIT行充評比｜BSMI認證 | https://vocus.cc/article/69abdb0dfd89780001d3f115
【學生行動電源推薦2026】7款平價行充評比｜小資族首選 | https://vocus.cc/article/69abdfb0fd89780001d516f2
10000mAh 和 20000mAh 差多少？到底該選哪個？｜行動電源容量挑選指南 | https://vocus.cc/article/69abe49afd89780001d64fca
【口袋行動電源推薦2026】6款直插式行充評比｜免帶線 | https://vocus.cc/article/69abeb0ffd89780001d8246a
【可上飛機行動電源推薦2026】6款出國行充評比｜Wh有標，安檢不刁難 | https://vocus.cc/article/69abf2a1fd89780001da36aa
行動電源怎麼選？mAh、W、Wh 一次講清楚｜2026 新手必看 | https://vocus.cc/article/69abf987fd89780001dbcb67
行動電源膨脹了還能用嗎？壽命、安全、回收一次講｜2026 必看 | https://vocus.cc/article/69abfb72fd89780001dc33ca
【2026無線充電板推薦】7款三合一充電座評比｜放著就能充 | https://vocus.cc/article/69abfef9fd89780001dcef40
【固態行動電源推薦2026】7款防爆行充評比｜全固態vs半固態 | https://vocus.cc/article/69ac12ecfd89780001e189db
【2026露營行動電源推薦】5款戶外儲能電源評比｜到營地不怕沒電 | https://vocus.cc/article/69ad5384fd89780001318097
【2026磁吸行動電源推薦】6款MagSafe評比｜Qi2快充 | https://vocus.cc/article/69ae2a11fd897800016281a9
【2026行動電源推薦】7款高CP值行充評比｜通勤出國露營懶人包 | https://vocus.cc/article/69ae2dcffd89780001638995
行動電源 BSMI 認證怎麼查？3步驟教你辨別合格行充｜2026 | https://vocus.cc/article/69b24453fd89780001b6f112
【戶外儲能電源推薦2026】5 款露營停電兩用評比｜移動電源怎麼選 | https://vocus.cc/article/69a25a2dfd89780001f99c19
【2026Qi2磁吸行動電源推薦】7款無線行充評比｜吸上去就充 | https://vocus.cc/article/69b902b7fd8978000101eff5
【2026學生行動電源推薦】7款平價行充評比｜$299起，小資族的第一顆行動電源這樣選 | https://vocus.cc/article/69a7aee7fd897800014ecf1a
【2026磁吸行動電源推薦】6款MagSafe行充評比｜從$664到Qi2快充，iPhone用戶這樣選 | https://vocus.cc/article/69a7a86dfd897800014cc6b0
【2026固態行動電源推薦】7款防爆行充評比｜全固態vs半固態，$990起不自燃才是重點 | https://vocus.cc/article/69a7a2fdfd897800014af0cd
【2026口袋行動電源推薦】6款直插式行充評比｜$299起，出門不用帶線的隨身充電 | https://vocus.cc/article/69a6d03bfd89780001207e97
【2026MagSafe行動電源推薦】7款磁吸行充評比｜怎麼挑 | https://vocus.cc/article/69a247e2fd89780001f3309d

# === batch_02 香氛擴香（16 篇）===
【2026車用香氛推薦】8款車用芳香劑評比｜從百元香片到精品全攻略 | https://vocus.cc/article/69b0d94dfd8978000120f1dc
【香氛蠟燭推薦2026】8款薰香蠟燭評比｜新手不踩雷 | https://vocus.cc/article/69af85befd89780001b99e8b
【擴香機推薦2026】8款水氧機擴香儀評比｜新手這樣選 | https://vocus.cc/article/69b00092fd89780001e3cbc7
【2026擴香瓶推薦】7款藤枝擴香評比｜放著就香 | https://vocus.cc/article/69b3745bfd897800010a12a1
【精油推薦 2026】7款居家擴香精油評比｜芳療新手入門 | https://vocus.cc/article/69b3909efd897800011423eb
